s,tau,mu1,mu2,gamma1,gamma2
0.02651296469843011,0.8501528937212698,-1.436220020181468,-0.6139961435408169,-0.2994110705244739,0.33351512837610064
0.018473737467569844,0.8923796775862125,-1.4772079950037695,-0.7010344419471979,-0.1982431913588677,0.3197872281318975
0.02022474198377196,0.8870947542425136,-1.4383373681507374,-0.6288675974575217,-0.330420282533596,0.3800523249609361
0.02043550010951041,0.9256745791252045,-1.3602728384518827,-0.6487808325218948,-0.2846926262100225,0.419478301332854
0.018519532471131125,0.9611505783861051,-1.394026204501223,-0.6626680071050206,-0.17935391056565364,0.3886178880857693
0.020473522558266018,0.8733336831147208,-1.5398338823558364,-0.6388180839235373,-0.15748677965027238,0.35895076766630446
0.017675260608435415,0.8906691559197732,-1.395051850092277,-0.6545643585344202,-0.3054625502005785,0.2762402531402384
0.029389547629510737,0.8496091574097917,-1.4609404158273394,-0.7046140709956946,-0.35894195842098725,0.41393599747871673
0.02884082456815179,0.9082918195107249,-1.3805281810388559,-0.6890383320885812,-0.36445058426449545,0.3640900826699362
0.025359895260810946,0.9192066006148074,-1.415691564182135,-0.604282402990212,-0.31121756181366833,0.38394717765394537
0.018940351582999452,0.8996243952717908,-1.3578493233665827,-0.5963531359311532,-0.32390308607320284,0.3225316246793457
0.01758304730297821,0.954451276956099,-1.3415065418727912,-0.6420685221398955,-0.24869969229975492,0.3284690292239548
0.035178149937389186,0.9475902138430597,-1.4391173635311434,-0.6489042352019183,-0.1720403956960902,0.3660311220556211
0.02232697876384782,0.8970407520606573,-1.4325576234267026,-0.642408627296926,-0.3414746190263717,0.2950334003915243
0.015794942048152127,0.8717957692207167,-1.4223391238866647,-0.6401406619355915,-0.25038793353029687,0.3449977238206145
0.016557604140576287,0.8959980029928677,-1.4672597533950043,-0.6751769227343304,-0.12630989387085098,0.21209713590193438
0.015053038225289386,0.8726477187395961,-1.4754972409447178,-0.6320345696433262,-0.22896073348650872,0.2774593522180956
0.021710216959237257,0.9031397616791599,-1.4265376635930365,-0.7005892175039156,-0.36151115668425937,0.40243175015315513
0.030069532508885277,0.8724905210667647,-1.4513791088692,-0.6399345379125542,-0.11916520917158976,0.2093469796081187
0.01686570752340777,0.9124562196868512,-1.4656335244742185,-0.6260106818238089,-0.1748371834337985,0.3207940777234258
0.018872697486973823,0.8498824874079429,-1.4291146159937027,-0.6966624572934379,-0.23466481085381896,0.3928933905606975
0.01853487249345407,0.8779966954500946,-1.395566711563591,-0.6575997800248473,-0.19760243993399818,0.32915941511942365
0.01828476865148897,0.922311519640653,-1.3950268033559674,-0.656898446655747,-0.3532312591996027,0.2981022166308846
0.026132681866440167,0.9887147182813386,-1.2836502836838681,-0.6238784172765656,-0.3443299159693462,0.28809277611302797
0.026576476121521843,0.9566178625842507,-1.3937646516254392,-0.6479337273452651,-0.2040083528977809,0.33699720589698284
0.023964797559251606,0.9063023583825894,-1.496778922421669,-0.5309033010839909,-0.32043723986684997,0.20010078992500396
0.020663035187238117,0.8563815058650537,-1.3816093805942486,-0.6914905414922216,-0.2476062126253014,0.3050800087643758
0.019758715436905758,0.9088051933769067,-1.4268929069030867,-0.6477462454408169,-0.27287109781639546,0.4047636622650725
0.014469619600567385,0.914008051966393,-1.3818972678251225,-0.7272243497706903,-0.23384726396186617,0.4415080475184648
0.019591627054988674,0.8666028757163551,-1.4207476944167632,-0.6487418514072667,-0.32390016028019997,0.3341182560276766
0.02245266252352793,0.8725536192429325,-1.4012186256913555,-0.6438779967160013,-0.40769833881697226,0.18656119264699156
0.021782146277241166,0.8501337761577612,-1.4802192803066285,-0.6020961620092663,-0.2794748838242076,0.26802564028440184
0.021473977796125084,0.887548391119111,-1.4229983492146199,-0.6193614117345531,-0.1933556647984671,0.26842410607760214
0.03000995091763539,0.9517802650569859,-1.2884401608155631,-0.5327991592327339,-0.33440177910933866,0.3736361658409203
0.019764513114743056,0.980213754038716,-1.3008930398833733,-0.6223971909557484,-0.3238216212877979,0.3205672561354281
0.02132940116117359,0.9070018430489867,-1.3778501850046512,-0.6199876688988993,-0.37977623034859576,0.28040183909872024
0.021985272095634546,0.8809933101144837,-1.357446846666996,-0.6595897731748555,-0.33053332855425455,0.3932008672202867
0.01741384487618338,0.9151874694041076,-1.3663457703270439,-0.727278958810972,-0.31862173654525333,0.343214418063731
0.027518145565346697,0.9034865152837553,-1.406287064979847,-0.6827349015896529,-0.40063374912359684,0.32235990168386297
0.02070437018287124,0.8312977990985305,-1.4318950431124853,-0.6619507207266255,-0.33124881884452184,0.27969109725105284
0.018317605023841714,0.879147126337735,-1.4756764839766292,-0.6396897170263647,-0.25501955434378726,0.24576056049565986
0.027167109878758255,0.8422441727671856,-1.3829617407979302,-0.5747902419905,-0.15131187424932716,0.3026594421781775
0.022683166290614166,0.9067748733112364,-1.4130847290124693,-0.6903328363742152,-0.23295192508842394,0.22383401598172914
0.018711658788973386,0.9042793528642364,-1.4186817622146808,-0.6243958959494484,-0.30892190429986544,0.37122430285359187
0.022701940316773042,0.8689898628864092,-1.3631313774510483,-0.7047249867266139,-0.339377686719755,0.30988809162941755
0.02066050866972569,0.90527343400719,-1.3814086014945985,-0.6203607949123102,-0.2840875471953359,0.3332661688709345
0.04118834211165486,0.9539176993919336,-1.2965313127124967,-0.6200248901937551,-0.2850298776474932,0.29357872534481166
0.01875950837882222,0.9465248745884073,-1.4525250657459843,-0.6564354011656056,-0.15656315069248786,0.31655188521857563
0.025387536361588626,0.8505418282932135,-1.5459951314857152,-0.6438040615329825,-0.12865616546357522,0.3324393150303273
0.02243376967551482,0.8120454957910971,-1.595423587503092,-0.6247351245494894,-0.15612680282747027,0.2843048937712477
0.019928313364816784,0.818669114007788,-1.4231296530393935,-0.7356134602803186,-0.30767109444694746,0.3072913966599101
0.028702499317418514,0.8999471377831588,-1.4037489806601275,-0.5818235340333783,-0.1504519243168282,0.4109931718108014
0.025057733053634748,0.8511679481208912,-1.4981128876969039,-0.6141194464080514,-0.164885240532535,0.28546647908468764
0.02521268289928972,0.8916310016294605,-1.4522886058159665,-0.6537475957516508,-0.31593780262884497,0.33073918763041665
0.012983151031336423,0.9219861864530181,-1.3120037418466353,-0.6428176969393256,-0.352522684220458,0.38347012608610204
0.02753941994962983,0.9726169908016538,-1.353477271746669,-0.5620437646272444,-0.2804941351958773,0.2711346616068515
0.01858905447317229,0.976755510849517,-1.3745887642864938,-0.5643085082650703,-0.32882411761389363,0.33442401620649964
0.022973597868029653,0.9480799465016311,-1.3103397349541732,-0.6655316926574677,-0.38178226238425195,0.3938922447913531
0.021074229577721537,0.9762453717999761,-1.3116433379124193,-0.6290831264540994,-0.3367322865781429,0.3529383507216021
0.02125791745431597,0.9160358929865564,-1.4231432200164897,-0.5994423798098742,-0.24817385783860862,0.38313822787810176
0.02206789575448987,0.9300795398139953,-1.3533340231910942,-0.6292777695792343,-0.32501573118957744,0.412698936823265
0.016135324131038485,0.9426388286799986,-1.4012769257813567,-0.5820670674155457,-0.1838696396407255,0.290258352562498
0.02342258786646735,0.878427795256896,-1.4616006376577892,-0.5588835485406837,-0.31325821720425384,0.26494786612630483
0.03201591150037918,0.9337281439762984,-1.2970497574162878,-0.6362309874226247,-0.39883849196703525,0.30014500842366737
0.021621285753454053,0.9642451917655048,-1.3313371710939057,-0.5560688227555136,-0.37505848227083827,0.26484389693614574
0.021395399066325885,0.9629150281270263,-1.3750942479543813,-0.5673871971048592,-0.32915390415205226,0.3032592347840623
0.023573945904975007,0.9176652990721679,-1.3585591623199493,-0.6760886530320376,-0.2858858644539573,0.30488950394225584
0.026004650146559033,0.9020195271523901,-1.3532781287133313,-0.6318800490805062,-0.26715270468864455,0.2843405518556108
0.02486599713539496,0.9022732808302207,-1.3462195198161062,-0.63506941880944,-0.21117446617725238,0.3131678759054287
0.019299864202540342,0.8610828696956769,-1.4990887984592156,-0.6209511008311588,-0.2128927167493744,0.32434234432783327
0.020243388618455434,0.9297294978453807,-1.394515202797219,-0.6967572836124323,-0.2398623943668196,0.3440827179983742
0.03110722780892935,0.963020756499307,-1.3601101300139937,-0.5646421298429503,-0.31422544182374185,0.2893004982400228
0.01945857883012127,0.9655622700887937,-1.2859956060200461,-0.6085685353643824,-0.31007505189112844,0.28433074396106917
0.018609002832004423,0.908925278155061,-1.3885104483692405,-0.5983563971904923,-0.2981372918351533,0.28921998541168276
0.030214078514501284,0.9115840862821055,-1.3744092120873224,-0.6338062597552921,-0.22481988137388093,0.35031066785402104
0.026122131761123393,0.9073978428471294,-1.476609519512633,-0.6696188875826519,-0.23870632385981264,0.3267465492603946
0.029858257364740595,0.8533609056034538,-1.4183465921652683,-0.7173934600762215,-0.26093754794218665,0.2944077003669565
0.018935018415796475,0.8342070648187198,-1.4761933951013562,-0.6173941244132609,-0.17946301797064942,0.2895930537969867
0.02432446919083968,0.8587961160998374,-1.3544418805067027,-0.6582676454943517,-0.26790497441708777,0.22462302092391023
0.019709213102927253,0.9541440034838058,-1.3281894158605254,-0.5763520217094154,-0.3706559357301096,0.34035308426331573
0.029094865775880312,0.8967242127113713,-1.2913297371688166,-0.6510653266771864,-0.19376180287630748,0.39255892031237205
0.02297334235856718,0.9293543497445342,-1.4427774280683776,-0.6548477012904631,-0.2698048243117303,0.3276941997521881
0.017187775762886378,0.8723555974131331,-1.5114696715278917,-0.6437789467164423,-0.20925288330821304,0.27565150061737587
0.024125629377488883,0.8523551475269482,-1.426924131419095,-0.6698097221729914,-0.23423602901990223,0.2950109734092696
0.022500060683387366,0.8878405696044736,-1.449653244659605,-0.5967207996517032,-0.2673085489793586,0.15633572039413177
0.02688359762564915,0.8323674511649299,-1.5294374456825488,-0.6748933843100542,-0.228423157768967,0.40985962285731103
0.017807995419642876,0.8695107232061783,-1.4323111366915988,-0.6978182465570247,-0.3296390262699823,0.4199648436063531
0.025498413932971836,0.8924315673110478,-1.488348580429208,-0.7527437511087449,-0.19382403985357946,0.32933169322731043
0.023570727997230645,0.7657129665002435,-1.5967266357085121,-0.6936185949668973,-0.18933632370753134,0.35550945778881127
